                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.72387,                 1.1297,                  1.196,                0.87242,                0.41667,                 0.7306,                0.44377,                 1.8411,                 1.8313,                 1.5285,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97915,                0.93011,                 1.4378,                0.87242,                0.41667,                 0.7306,                0.44377,                 1.8411,                 1.8313,                 1.5285,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0094,                 1.3943,                 1.3643,                0.87242,                0.41667,                 0.7306,                0.44377,                 1.8411,                 1.8313,                 1.5285,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.67897,                0.72859,                 1.1708,                0.87325,                0.41667,                0.70006,                0.43989,                 1.8495,                 1.8337,                 1.5256,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.74898,                 1.1283,                 1.1176,                0.87325,                0.41667,                0.70006,                0.43989,                 1.8495,                 1.8337,                 1.5256,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.81068,                0.82868,                 1.3211,                0.87325,                0.41667,                0.70006,                0.43989,                 1.8495,                 1.8337,                 1.5256,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.78616,                0.68737,                 1.1915,                0.87188,                0.41667,                0.70292,                0.42278,                 1.8546,                 1.8793,                  1.543,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.82266,                 1.0222,                 1.3053,                0.87188,                0.41667,                0.70292,                0.42278,                 1.8546,                 1.8793,                  1.543,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 0.7567,                 0.7658,                  1.174,                0.87188,                0.41667,                0.70292,                0.42278,                 1.8546,                 1.8793,                  1.543,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.86515,                 1.3051,                 1.2065,                0.87226,                0.41667,                0.62062,                0.37457,                 1.8726,                  1.926,                 1.5529,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.73217,                 1.1296,                 1.1845,                0.87226,                0.41667,                0.62062,                0.37457,                 1.8726,                  1.926,                 1.5529,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.76125,                 1.0052,                 1.2204,                0.87226,                0.41667,                0.62062,                0.37457,                 1.8726,                  1.926,                 1.5529,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.54309,                 0.5965,                 1.0158,                0.87313,                0.41667,                0.59157,                0.36316,                 1.8513,                 1.9566,                 1.5574,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.87851,                0.81294,                 1.2135,                0.87313,                0.41667,                0.59157,                0.36316,                 1.8513,                 1.9566,                 1.5574,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.79485,                0.92701,                 1.1969,                0.87313,                0.41667,                0.59157,                0.36316,                 1.8513,                 1.9566,                 1.5574,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.76192,                0.83474,                 1.1389,                0.87683,                0.41217,                 0.5947,                0.36271,                 1.8576,                 1.9518,                 1.5514,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.69115,                0.81023,                 1.1973,                0.87683,                0.41217,                 0.5947,                0.36271,                 1.8576,                 1.9518,                 1.5514,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.76445,                 1.1665,                 1.1451,                0.87683,                0.41217,                 0.5947,                0.36271,                 1.8576,                 1.9518,                 1.5514,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 0.7606,                0.88173,                 1.0915,                0.87683,                0.41217,                 0.5947,                0.36271,                 1.8576,                 1.9518,                 1.5514,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.83661,                 1.1757,                 1.4219,                0.84272,                    0.4,                0.58415,                0.36703,                 1.8445,                 1.9389,                 1.5406,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0997,                  1.246,                 1.5225,                0.84272,                    0.4,                0.58415,                0.36703,                 1.8445,                 1.9389,                 1.5406,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.73273,                0.85224,                 1.0673,                0.84272,                    0.4,                0.58415,                0.36703,                 1.8445,                 1.9389,                 1.5406,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.55722,                0.77877,                 1.0071,                0.84272,                    0.4,                0.58415,                0.36703,                 1.8445,                 1.9389,                 1.5406,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.75895,                0.86134,                0.98345,                0.96688,                 0.3518,                0.69538,                0.45603,                 1.8502,                 1.8434,                 1.5237,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.63216,                0.72073,                 1.0865,                0.96688,                 0.3518,                0.69538,                0.45603,                 1.8502,                 1.8434,                 1.5237,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.60893,                0.72629,                0.95553,                0.96688,                 0.3518,                0.69538,                0.45603,                 1.8502,                 1.8434,                 1.5237,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.47377,                0.66746,                0.97164,                0.96688,                 0.3518,                0.69538,                0.45603,                 1.8502,                 1.8434,                 1.5237,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.63164,                0.78485,                    1.1,                0.96733,                0.35184,                0.69906,                0.43228,                 1.8626,                 1.8716,                 1.5329,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 0.7494,                0.83774,                 1.0824,                0.96733,                0.35184,                0.69906,                0.43228,                 1.8626,                 1.8716,                 1.5329,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.65807,                0.73383,                0.99963,                0.96733,                0.35184,                0.69906,                0.43228,                 1.8626,                 1.8716,                 1.5329,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.60635,                0.79526,                 1.0045,                0.96733,                0.35184,                0.69906,                0.43228,                 1.8626,                 1.8716,                 1.5329,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.60983,                0.71006,                 1.0489,                0.96494,                0.35199,                0.76253,                0.42309,                  1.869,                 1.8664,                 1.5398,             2.3444e-06,             2.3444e-06,             2.3444e-06
